location,list_price (RM),unit_price (RM)/m2,number_bedroom,number_bathroom,area(m2),type,type_encoded,location_encoded
Petaling. Selangor,1444000000,195293.48120097377,3.0,2.0,7394.0,Condo,2,19
Johor Bahru. Johor,1299600000,11501460.0,3.0,3.0,113.0,Condo,2,5
Petaling. Selangor,2137842000,263183.7990890065,3.0,2.0,8123.0,Condo,2,19
Sepang. Selangor,1227400000,270590.82892416226,4.0,2.0,4536.0,Condo,2,23
Seremban. Negeri Sembilan,1155200000,106391.60066310554,4.0,3.0,10858.0,Condo,2,24
Seremban. Negeri Sembilan,1155200000,106391.60066310554,4.0,2.0,10858.0,Condo,2,24
Johor Bahru. Johor,1371800000,12472550.0,5.0,3.0,10999.0,Condo,2,5
Petaling. Selangor,2382600000,16544630.0,4.0,3.0,144.0,House,3,19
Petaling. Selangor,1552300000,161849.65071421122,3.0,2.0,9591.0,Condo,2,19
Kuala Lumpur. Kuala Lumpur,1516200000,18761170.0,3.0,2.0,8082.0,Condo,2,12
Johor Bahru. Johor,8844500000,19060800.0,8.0,8.0,464.0,House,3,5
Johor Bahru. Johor,3458380000,1570350.0,4.0,3.0,2200.0,Villa,7,5
Johor Bahru. Johor,1245450000,1111880.0,3.0,4.0,1120.0,House,3,5
Johor Bahru. Johor,1689480000,526481.7700218137,4.0,3.0,3209.0,House,3,5
Petaling. Selangor,4332000000,15754040.0,5.0,5.0,275.0,Condo,2,19
Johor Bahru. Johor,2483680000,12544750.0,4.0,3.0,198.0,House,3,5
Johor Bahru. Johor,2274300000,12566410.0,4.0,3.0,181.0,House,3,5
Kuala Lumpur. Kuala Lumpur,1444000000,1604444.4444444445,3.0,2.0,900.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2527000000,534475.4653130288,4.0,3.0,4728.0,Condo,2,12
Johor Bahru. Johor,5415000000,18234110.0,5.0,5.0,297.0,House,3,5
Johor Bahru. Johor,1570350000,489358.0554689935,4.0,3.0,3209.0,House,3,5
Johor Bahru. Johor,11732500000,21605850.0,6.0,7.0,543.0,Villa,7,5
Johor Bahru. Johor,11732500000,21605850.0,6.0,6.0,543.0,Villa,7,5
Johor Bahru. Johor,3971000000,21371200.0,4.0,3.0,1858.0,Villa,7,5
Sepang. Selangor,812250000,179067.4603174603,3.0,2.0,4536.0,Condo,2,23
Johor Bahru. Johor,2664180000,13949040.0,4.0,3.0,191.0,House,3,5
Kuala Lumpur. Kuala Lumpur,1963840000,218252.9450989109,1.0,1.0,8998.0,Condo,2,12
Johor Bahru. Johor,3350080000,13136790.0,4.0,3.0,255.0,House,3,5
Kuala Lumpur. Kuala Lumpur,2046870000,227480.55123360746,1.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,1920520000,213438.54189819962,1.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2472850000,274822.1827072683,2.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,3111820000,345834.6299177595,2.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2595590000,288462.9917759502,2.0,1.0,8998.0,Condo,2,12
Putrajaya. Putrajaya,2137842000,376049.60422163585,3.0,3.0,5685.0,Condo,2,21
Putrajaya. Putrajaya,1227400000,215901.4951627089,4.0,2.0,5685.0,Condo,2,21
Putrajaya. Putrajaya,758100000,163207.75026910656,1.0,1.0,4645.0,Condo,2,21
Kuala Lumpur. Kuala Lumpur,2512560000,279235.3856412536,2.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2075750000,230690.15336741498,2.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2552270000,283648.58857523894,2.0,1.0,8998.0,Condo,2,12
Johor Bahru. Johor,2086580000,16050060.0,5.0,4.0,130.0,House,3,5
Kuala Lumpur. Kuala Lumpur,2209320000,245534.56323627473,2.0,1.0,8998.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,2050480000,227881.75150033343,2.0,1.0,8998.0,Condo,2,12
Johor Bahru. Johor,7400500000,16595170.0,20.0,6.0,44592.0,Commercial,1,5
Johor Bahru. Johor,4332000000,12952680.0,20.0,2.0,33444.0,Commercial,1,5
Johor Bahru. Johor,9927500000,6447460.0,20.0,2.0,1540.0,Commercial,1,5
Johor Bahru. Johor,20216000000,974405.9382079336,1.0,6.0,20747.0,Commercial,1,5
Kuala Lumpur. Kuala Lumpur,61871790000,58507270.0,10.0,10.0,105748.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,5974550000,57471200.0,10.0,10.0,10396.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,6404140000,58225690.0,10.0,10.0,10999.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,36280500000,35222770.0,10.0,10.0,102998.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,56677000000,59601100.0,10.0,10.0,95092.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,39493400000,36233570.0,10.0,10.0,1090.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,40034900000,35367170.0,10.0,10.0,113199.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,7394002000,42746010.0,10.0,10.0,17298.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,3458199500,44684580.0,10.0,10.0,7739.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,20187120000,61175060.0,10.0,10.0,32998.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,6061190000,60023470.0,10.0,10.0,10098.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,15468128000,24869290.0,10.0,10.0,62197.0,Office,4,12
Kuala Lumpur. Kuala Lumpur,36461000000,36244400.0,10.0,10.0,100601.0,Office,4,12
Johor Bahru. Johor,3790500000,1743560.2575896962,5.0,5.0,2174.0,Villa,7,5
Kuala Lumpur. Kuala Lumpur,711170000,79036.45254501,2.0,1.0,8998.0,Condo,2,12
Johor,2093800000,115820.33410775529,20.0,4.0,18078.0,Commercial,1,4
Klang. Selangor,51487639440,27201.292154954626,10.0,10.0,1892838.0,office,9,8
